"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Small Animals","","Kaytee Fiesta KrunchARounds Small Animal Treats 3oz bag","26396150","14.99","","","","K Hardware","Mouse & Rat Food & Treats","true",""
"ProductItem","1","Dogs","49.99","Gen7Pets CarryMe Pet Carrier Gray Shadow","26437622","30.99","","4.8","10","Walmart","Dog Carriers & Travel","false",""
"ProductItem","1","Dogs","","Gen7Pets CarryMe Pet Carrier Gray Shadow","26437622","53.16","","4.8","10","DropAir","Dog Carriers & Travel","true",""
"ProductItem","1","Dogs","149.99","Gen7Pets Promenade Pet Stroller Black Onyx","26437659","101.73","","4.8378","37","Walmart","Dog Carriers & Travel","false",""
"ProductItem","1","Dogs","","Gen7Pets Promenade Pet Stroller Black Onyx","26437659","125.49","","4.8378","37","Overstock","Dog Carriers & Travel","true",""
"ProductItem","1","Sports","","Horse Blanket Hood Neck Cover 600D 300g Fill Brown with Pink Dots","264385592","29.99","300.0","","","AJ Tack Wholesale","Equestrian Gear","true","g"
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","5.05","","5.0","1","Walmart","Dog Toys","false",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","9.45","","5.0","1","Little Family Members","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","13.99","","5.0","1","canem llc","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","7.03","","5.0","1","Ablackhorse","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","14.59","","5.0","1","Rons Home and Hardware","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","17.39","","5.0","1","TrueValueSuperStore","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","18.99","","5.0","1","K Hardware","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","19.24","","5.0","1","AimToFind","Dog Toys","true",""
"ProductItem","1","Dogs","","Chuckit Ultra Tug Dog toy Medium","26443748","22.48","","5.0","1","Product Direct","Dog Toys","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","21.91","","","","ProMax Commerce","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","25.69","","","","Rons Home and Hardware","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","26.84","","","","Toolboxsupply","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","26.87","","","","TrueValueSuperStore","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","22.49","","","","Jeffers","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","29.99","","","","K Hardware","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","31.55","","","","AimToFind","Dog Grooming","true",""
"ProductItem","1","Dogs","","Neogen 7020 Foot Rot Shears NonStick Steel Blades Resin Handle Quantity 1","26443757","48.59","","","","SlickBlue","Dog Grooming","true",""
"ProductItem","1","Horses","","Neogen Ideal DDexco Iv Set With Rubber Tubing 5 Foot","26443769","13.14","","","","Ablackhorse","Horse Supplies","true",""
"ProductItem","1","Dogs","","Durvet Thrush Rid","26443785","16.27","","","","ProMax Commerce","Dog Health & Wellbeing","true",""
"ProductItem","1","Dogs","","Durvet Thrush Rid","26443785","10.01","","","","Ablackhorse","Dog Health & Wellbeing","true",""
"ProductItem","1","Dogs","","Durvet Thrush Rid","26443785","13.89","","","","Statelinetack","Dog Health & Wellbeing","true",""
"ProductItem","1","Dogs","21.81","Durvet Thrush Rid","26443785","16.68","","","","UnbeatableSale","Dog Health & Wellbeing","true",""
